,speed,accelerations,jerks,predictions,duration,interval,dto,ttc,time
0,0.0,0.0,0.0,0,20,0.5,100.0,50.0,0
1,0.044,0.088,0.176,0,20,0.5,16.2608,50.0,1
2,1.036,1.984,3.792,0,20,0.5,18.58,50.0,2
3,2.167,2.2619999999999996,0.556,0,20,0.5,21.23,50.0,3
4,3.369,2.404000000000001,0.284,[0.],20,0.5,23.7009,50.0,4
5,4.631,2.524,0.24,[0.],20,0.5,25.638,50.0,5
6,5.987,2.7119999999999997,0.376,[0.],20,0.5,26.9872,50.0,6
7,7.335,2.6959999999999997,0.032,[0.],20,0.5,27.6792,50.0,7
8,8.692,2.7140000000000004,0.036,[1.],20,0.5,27.6727,2128.6692307683743,8
9,6.805,-3.774000000000001,12.976,[1.],20,0.5,27.7965,50.0,9
10,4.738,-4.133999999999999,0.72,[0.],20,0.5,28.9061,50.0,10
11,2.734,-4.008000000000001,0.252,[0.],20,0.5,31.0749,50.0,11
12,0.75,-3.968,0.08,[0.],20,0.5,34.1813,50.0,12
13,0.001,-1.498,4.94,[0.],20,0.5,38.1404,50.0,13
14,0.0,-0.002,2.992,[0.],20,0.5,42.142,50.0,14
15,0.0,0.0,0.004,[0.],20,0.5,100.0,50.0,15
16,0.0,0.0,0.0,[0.],20,0.5,100.0,50.0,16
17,0.0,0.0,0.0,[0.],20,0.5,100.0,50.0,17
18,1.037,2.074,4.148,[0.],20,0.5,100.0,50.0,18
19,2.168,2.2620000000000005,0.376,[0.],20,0.5,100.0,50.0,19
20,3.37,2.404,0.284,[0.],20,0.5,100.0,50.0,20
21,4.632,2.523999999999999,0.24,[0.],20,0.5,100.0,50.0,21
22,5.988,2.7120000000000015,0.376,[0.],20,0.5,100.0,50.0,22
23,7.336,2.6959999999999997,0.032,[0.],20,0.5,100.0,50.0,23
24,8.695,2.718,0.044,[0.],20,0.5,100.0,50.0,24
25,10.092,2.7940000000000005,0.152,[0.],20,0.5,100.0,50.0,25
26,11.497,2.8099999999999987,0.032,[0.],20,0.5,100.0,50.0,26
27,12.9,2.806000000000001,0.008,[0.],20,0.5,100.0,50.0,27
28,14.296,2.791999999999998,0.028,[0.],20,0.5,100.0,50.0,28
29,15.631,2.6700000000000017,0.244,[0.],20,0.5,100.0,50.0,29
30,16.629,1.9960000000000022,1.348,[0.],20,0.5,100.0,50.0,30
31,17.582,1.9059999999999988,0.18,[0.],20,0.5,100.0,50.0,31
32,18.521,1.8780000000000001,0.056,[0.],20,0.5,100.0,50.0,32
33,19.165,1.2879999999999967,1.18,[0.],20,0.5,100.0,50.0,33
34,19.674,1.0180000000000007,0.54,[0.],20,0.5,100.0,50.0,34
35,20.179,1.009999999999998,0.016,[0.],20,0.5,100.0,50.0,35
36,20.674,0.990000000000002,0.04,[0.],20,0.5,100.0,50.0,36
37,21.161,0.9740000000000038,0.032,[0.],20,0.5,100.0,50.0,37
38,21.645,0.9679999999999964,0.012,[0.],20,0.5,100.0,50.0,38
39,22.122,0.9540000000000006,0.028,[0.],20,0.5,100.0,50.0,39
40,22.591,0.9380000000000024,0.032,[0.],20,0.5,100.0,50.0,40
41,23.051,0.9199999999999946,0.036,[0.],20,0.5,100.0,50.0,41
