speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0.0,20,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0.0,20,0.5,6.306,0.03365210152197579,0,1
1.036,1.984,3.792,0.0,20,0.5,8.6237,50.0,0,2
2.167,2.2619999999999996,0.556,0.0,20,0.5,11.2716,50.0,0,3
3.369,2.404000000000001,0.284,0.0,20,0.5,13.7037,50.0,0,4
4.631,2.524,0.24,0.0,20,0.5,15.6735,50.0,0,5
5.987,2.7119999999999997,0.376,0.0,20,0.5,17.0035,50.0,0,6
7.335,2.6959999999999997,0.032,0.0,20,0.5,17.6807,50.0,0,7
8.694,2.7180000000000017,0.044,0.0,20,0.5,17.673,50.0,0,8
10.092,2.7959999999999994,0.156,0.0,20,0.5,16.9911,12.458644962604508,0,9
11.497,2.8099999999999987,0.028,0.0,20,0.5,15.5841,5.538059701492537,0,10
12.9,2.806000000000001,0.008,0.0,20,0.5,13.4793,3.2020381984036503,0,11
14.295,2.789999999999999,0.032,1.0,20,0.5,10.6813,1.9087383845604002,0,12
12.32,-3.9499999999999993,13.48,1.0,20,0.5,8.0163,1.5039962476547837,0,13
10.231,-4.178000000000001,0.456,1.0,20,0.5,6.3961,1.9738612516973217,0,14
8.169,-4.123999999999999,0.108,1.0,20,0.5,5.8088,4.9453430955218804,0,15
6.086,-4.166,0.084,0.0,20,0.5,6.2499,50.0,0,16
4.116,-3.9400000000000013,0.452,0.0,20,0.5,7.6796,50.0,0,17
2.118,-3.9959999999999996,0.112,0.0,20,0.5,9.7014,50.0,0,18
0.001,-4.234,0.476,0.0,20,0.5,11.3264,50.0,0,19
0.0,-0.002,8.464,0.0,20,0.5,13.3199,50.0,0,20
0.0,0.0,0.004,0.0,20,0.5,15.3134,50.0,0,21
1.037,2.074,4.148,0.0,20,0.5,17.0622,50.0,0,22
2.168,2.2620000000000005,0.376,0.0,20,0.5,18.2385,50.0,0,23
3.369,2.402,0.28,0.0,20,0.5,18.8583,50.0,0,24
4.632,2.525999999999999,0.248,0.0,20,0.5,18.7979,50.0,0,25
5.987,2.710000000000001,0.368,0.0,20,0.5,18.1431,13.853924862553493,0,26
7.335,2.6959999999999997,0.028,0.0,20,0.5,100.0,50.0,0,27
8.695,2.7200000000000006,0.048,0.0,20,0.5,100.0,50.0,0,28
10.092,2.7940000000000005,0.148,0.0,20,0.5,100.0,50.0,0,29
11.497,2.8099999999999987,0.032,0.0,20,0.5,100.0,50.0,0,30
12.901,2.808,0.004,0.0,20,0.5,100.0,50.0,0,31
14.296,2.789999999999999,0.036,0.0,20,0.5,100.0,50.0,0,32
15.632,2.6720000000000006,0.236,0.0,20,0.5,100.0,50.0,0,33
16.63,1.9959999999999987,1.352,0.0,20,0.5,100.0,50.0,0,34
17.583,1.9059999999999988,0.18,0.0,20,0.5,100.0,50.0,0,35
18.524,1.882000000000005,0.048,0.0,20,0.5,100.0,50.0,0,36
19.186,1.323999999999998,1.116,0.0,20,0.5,100.0,50.0,0,37
19.697,1.0219999999999985,0.604,0.0,20,0.5,100.0,50.0,0,38
20.199,1.0040000000000049,0.036,0.0,20,0.5,100.0,50.0,0,39
20.697,0.9959999999999951,0.016,0.0,20,0.5,100.0,50.0,0,40
21.187,0.980000000000004,0.032,0.0,20,0.5,100.0,50.0,0,41
