speed,accelerations,jerks,predictions,dto,ttc,col,time,duration,interval
0.0,0.0,0.0,0,100.0,50.0,0,0,12,0.5
0.044,0.088,0.176,0,17.7322,0.10777120574513965,0,1,12,0.5
1.036,1.984,3.792,0,20.0801,50.0,0,2,12,0.5
2.167,2.2619999999999996,0.556,0,21.8383,50.0,0,3,12,0.5
3.369,2.404000000000001,0.284,0,22.9945,50.0,0,4,12,0.5
4.631,2.524,0.24,0,23.5235,50.0,0,5,12,0.5
5.987,2.7119999999999997,0.376,0,23.4266,50.0,0,6,12,0.5
7.332,2.6899999999999995,0.044,0,22.7751,17.47897160399073,0,7,12,0.5
8.691,2.7180000000000017,0.056,0,21.3177,7.313606422396048,0,8,12,0.5
10.089,2.7959999999999994,0.156,0,19.2198,4.580723580723582,0,9,12,0.5
11.494,2.8099999999999987,0.028,0,16.3669,2.868467173753025,0,10,12,0.5
12.898,2.808,0.004,0,12.824,1.809816816732055,0,11,12,0.5
14.292,2.7880000000000003,0.04,0,8.6548,1.0379449294828744,0,12,12,0.5
15.627,2.6700000000000017,0.236,1,3.7976,0.390924812649263,0,13,12,0.5
11.744,-7.766000000000002,20.872,1,0.2269,0.031772481586243594,1,14,12,0.5
5.81,-11.868,8.204,1,0.2795,50.0,1,15,12,0.5
0.106,-11.408,0.92,0,0.1264,0.41280209013716523,0,16,12,0.5
0.022,-0.16799999999999998,22.48,0,1.7279,50.0,0,17,12,0.5
0.0,-0.044,0.248,0,4.271,50.0,0,18,12,0.5
0.0,0.0,0.088,0,6.8297,50.0,0,19,12,0.5
0.0,0.0,0.0,0,9.3653,50.0,0,20,12,0.5
0.0,0.0,0.0,0,11.9057,50.0,0,21,12,0.5
0.0,0.0,0.0,0,14.4974,50.0,0,22,12,0.5
1.036,2.072,4.144,0,16.7928,50.0,0,23,12,0.5
2.167,2.2619999999999996,0.38,0,18.5377,50.0,0,24,12,0.5
